98001,10,25,10,10,50,25,10
98002,10,25,10,10,50,25,10
98003,10,25,10,10,50,25,5
98003,10,25,5,5,5,5,5
98004,25,50,50,50,25,25,50
98005,25,50,50,50,25,25,50
98006,25,50,50,50,25,25,50
98007,25,50,50,50,25,25,50
98008,25,50,50,50,25,25,25
98010,10,10,10,10,5,10,10
98011,25,50,25,25,10,25,50
98012,10,25,10,10,5,10,50
98014,5,5,25,25,5,10,25
98019,5,5,5,5,5,5,5
98019,5,5,25,25,5,10,25
98020,10,10,10,10,5,25,5
98020,5,5,5,5,5,5,5
98021,10,50,10,10,5,25,50
98021,10,5,10,10,5,25,5
98021,5,5,5,5,5,5,50
98022,10,10,5,5,5,5,5
98022,5,5,5,5,5,5,5
98023,10,25,10,10,25,10,5
98024,5,25,10,10,5,10,10
98025,5,25,10,10,5,10,10
98026,10,10,10,10,5,25,5
98026,5,5,5,5,5,5,5
98027,10,50,25,25,10,25,25
98027,25,50,50,50,5,25,5
98028,25,50,10,10,10,25,50
98029,10,25,25,25,10,25,25
98031,25,50,10,10,50,25,25
98032,25,50,10,10,50,25,25
98032,5,5,10,10,25,25,5
98033,25,50,50,50,10,25,50
98034,25,50,25,25,10,25,50
98036,10,10,10,10,5,25,50
98036,5,5,5,5,5,5,5
98037,10,10,10,10,5,10,25
98038,10,25,25,25,10,10,25
98039,25,50,50,50,25,25,50
98040,25,50,50,50,25,25,50
98042,25,25,10,10,50,25,25
98043,10,10,10,10,5,25,10
98043,5,5,5,5,5,5,5
98045,5,5,10,10,5,5,5
98047,10,25,10,10,50,10,5
98051,5,10,10,10,5,5,10
98052,10,50,50,50,10,25,50
98053,10,25,25,25,10,25,25
98055,25,50,10,10,50,25,25
98056,25,50,50,50,50,25,25
98058,25,50,25,25,50,25,25
98059,25,50,50,50,50,25,50
98065,5,5,10,10,5,5,10
98068,5,5,5,5,5,5,5
98070,25,5,5,5,5,25,5
98072,10,25,10,10,5,25,50
98072,10,25,25,25,10,25,50
98092,10,25,10,10,50,10,10
98092,10,25,5,5,5,5,5
98101,50,10,25,25,10,5,5
98102,50,10,25,25,25,5,5
98103,50,10,25,25,10,10,5
98104,50,10,25,25,10,5,5
98105,25,10,50,50,25,10,10
98106,50,10,25,25,25,10,5
98107,50,10,25,25,10,5,5
98108,50,10,25,25,50,10,10
98109,50,10,25,25,10,5,5
98110,25,10,5,5,5,25,5
98112,50,50,50,50,25,10,10
98115,25,10,25,25,10,10,10
98116,50,10,25,25,10,10,5
98117,50,10,25,25,10,10,5
98118,25,50,25,25,50,10,25
98119,50,10,25,25,10,5,5
98121,50,10,25,25,10,5,5
98122,50,50,25,25,25,5,10
98125,25,10,25,25,10,10,10
98126,50,10,25,25,25,10,5
98133,50,10,25,25,10,25,5
98134,50,10,25,25,25,5,5
98134,50,10,25,25,25,5,5
98136,50,10,25,25,10,10,5
98144,50,50,50,50,25,5,10
98146,50,10,25,25,25,10,5
98148,25,50,10,10,25,25,10
98154,5,10,5,5,10,5,5
98155,25,10,10,10,10,25,10
98164,5,25,5,5,10,5,5
98166,25,10,10,10,25,25,5
98168,50,50,25,25,50,10,10
98174,5,10,5,5,10,5,5
98177,5,5,5,5,5,5,5
98177,25,10,25,25,10,25,5
98178,25,50,10,10,50,10,25
98188,25,50,10,10,50,25,25
98198,25,50,10,10,50,25,10
98199,50,10,25,25,10,10,5
98201,10,5,5,5,5,5,25
98203,10,5,10,10,5,5,25
98204,10,10,10,10,5,10,25
98205,10,5,5,5,5,5,25
98205,10,5,5,5,5,5,10
98205,10,5,5,5,5,5,10
98205,5,5,5,5,5,5,5
98205,10,5,5,5,5,5,25
98208,10,25,10,10,5,10,25
98223,5,5,5,5,5,5,5
98224,5,5,5,5,5,5,5
98224,5,5,5,5,5,5,5
98238,5,5,5,5,5,5,5
98241,5,5,5,5,5,5,5
98251,5,5,5,5,5,5,5
98251,5,5,5,5,5,5,5
98252,5,5,5,5,5,5,5
98256,5,5,5,5,5,5,5
98256,5,5,5,5,5,5,5
98258,5,5,5,5,5,5,10
98267,5,5,5,5,5,5,5
98270,5,5,5,5,5,5,10
98270,5,5,5,5,5,5,5
98271,5,5,5,5,5,5,5
98271,10,5,5,5,5,5,5
98272,5,5,10,10,5,5,25
98272,5,5,5,5,5,5,5
98273,5,5,5,5,5,5,5
98274,5,5,5,5,5,5,5
98275,10,5,10,10,5,10,25
98288,5,5,5,5,5,5,5
98288,5,5,5,5,5,5,5
98290,5,5,5,5,5,5,25
98290,5,5,5,5,5,5,5
98290,5,5,5,5,5,5,5
98292,5,5,5,5,5,5,5
98292,5,5,5,5,5,5,5
98294,5,5,5,5,5,5,10
98294,5,5,5,5,5,5,5
98296,10,10,10,10,5,10,50
98296,10,25,10,10,5,10,10
98296,5,5,5,5,5,5,5
98303,5,5,5,5,5,5,5
98303,5,5,5,5,5,5,5
98304,5,5,5,5,5,5,5
98310,10,5,5,5,5,10,5
98311,10,5,5,5,5,5,5
98312,5,5,5,5,5,5,5
98315,5,5,5,5,5,5,5
98321,10,5,5,5,5,5,5
98321,10,10,5,5,25,5,5
98323,5,5,5,5,5,5,5
98327,5,5,5,5,5,5,5
98328,5,5,5,5,5,5,5
98329,5,5,5,5,5,5,5
98329,5,5,5,5,5,5,5
98330,5,5,5,5,5,5,5
98332,5,5,5,5,5,5,5
98332,10,5,5,5,5,10,5
